time,symbol,open,high,low,close,volume
2026-03-26T18:35:00Z,SPY,647.05,647.25,647.0,647.24,1057
2026-03-26T18:36:00Z,AMD,205.0,205.155,205.0,205.155,486
2026-03-26T18:36:00Z,NVDA,172.21,172.23,172.12,172.22,15237
2026-03-26T18:36:00Z,SPY,647.24,647.32,647.08,647.29,1577
2026-03-26T18:37:00Z,AMD,204.99,204.99,204.86,204.9,730
2026-03-26T18:37:00Z,NVDA,172.14,172.2,172.07,172.11,8043
2026-03-26T18:37:00Z,SPY,647.14,647.2,647.01,647.02,1181
2026-03-26T18:38:00Z,AMD,204.95,205.17,204.95,205.17,1016
2026-03-26T18:38:00Z,NVDA,172.13,172.28,172.105,172.23,11866
2026-03-26T18:38:00Z,SPY,647.225,647.4,647.225,647.4,665
2026-03-26T18:39:00Z,AMD,205.25,205.35,205.25,205.275,1407
2026-03-26T18:39:00Z,NVDA,172.22,172.29,172.2,172.29,7601
2026-03-26T18:39:00Z,SPY,647.33,647.39,647.33,647.39,693
2026-03-26T18:40:00Z,AMD,205.29,205.51,205.29,205.47,1513
2026-03-26T18:40:00Z,NVDA,172.285,172.375,172.24,172.32,6639
2026-03-26T18:40:00Z,SPY,647.41,647.53,647.28,647.36,2644
2026-03-26T18:41:00Z,AMD,205.46,205.57,205.26,205.28,1887
2026-03-26T18:41:00Z,NVDA,172.31,172.335,172.25,172.26,8365
2026-03-26T18:41:00Z,SPY,647.36,647.36,647.16,647.16,1663
2026-03-26T18:42:00Z,AMD,205.14,205.14,204.99,204.99,609
2026-03-26T18:42:00Z,NVDA,172.27,172.335,172.125,172.13,8715
2026-03-26T18:42:00Z,SPY,647.21,647.21,646.92,646.965,408
2026-03-26T18:43:00Z,AMD,204.98,204.98,204.97,204.98,1181
2026-03-26T18:43:00Z,NVDA,172.135,172.15,172.035,172.125,5868
2026-03-26T18:43:00Z,SPY,646.995,646.995,646.975,646.975,185
2026-03-26T18:44:00Z,AMD,205.03,205.06,204.99,204.99,1103
2026-03-26T18:44:00Z,NVDA,172.105,172.19,172.105,172.16,20294
2026-03-26T18:44:00Z,SPY,646.94,647.13,646.935,647.12,465
2026-03-26T18:45:00Z,AMD,204.97,204.97,204.9,204.9,1152
2026-03-26T18:45:00Z,NVDA,172.145,172.15,171.97,171.995,8091
2026-03-26T18:45:00Z,SPY,647.13,647.13,646.89,646.89,1490
2026-03-26T18:46:00Z,AMD,204.8,204.85,204.78,204.78,800
2026-03-26T18:46:00Z,NVDA,172.01,172.12,172.005,172.12,10038
2026-03-26T18:46:00Z,SPY,646.94,647.105,646.91,647.1,1247
2026-03-26T18:47:00Z,AMD,205.06,205.075,204.88,204.99,2656
2026-03-26T18:47:00Z,NVDA,172.12,172.21,172.12,172.17,9421
2026-03-26T18:47:00Z,SPY,647.125,647.34,647.125,647.34,1894
2026-03-26T18:48:00Z,AMD,204.94,205.13,204.94,205.06,3215
2026-03-26T18:48:00Z,NVDA,172.16,172.175,172.06,172.06,11218
2026-03-26T18:48:00Z,SPY,647.29,647.4,647.29,647.325,1163
2026-03-26T18:49:00Z,AMD,205.14,205.385,205.135,205.385,1445
2026-03-26T18:49:00Z,NVDA,172.1,172.335,172.09,172.335,6902
2026-03-26T18:49:00Z,SPY,647.245,647.49,647.245,647.455,1414
2026-03-26T18:50:00Z,AMD,205.21,205.38,205.21,205.38,1531
2026-03-26T18:50:00Z,NVDA,172.34,172.355,172.285,172.31,11889
2026-03-26T18:50:00Z,SPY,647.43,647.6,647.29,647.48,2889
2026-03-26T18:51:00Z,AMD,205.36,205.55,205.32,205.5,1523
2026-03-26T18:51:00Z,NVDA,172.335,172.365,172.295,172.365,4288
2026-03-26T18:51:00Z,SPY,647.51,647.58,647.51,647.52,552
2026-03-26T18:52:00Z,AMD,205.43,205.52,205.43,205.52,916
2026-03-26T18:52:00Z,NVDA,172.345,172.5,172.33,172.43,6615
2026-03-26T18:52:00Z,SPY,647.43,647.5,647.395,647.395,892
2026-03-26T18:53:00Z,AMD,205.39,205.6,205.37,205.6,3025
2026-03-26T18:53:00Z,NVDA,172.43,172.46,172.42,172.46,4266
2026-03-26T18:53:00Z,SPY,647.38,647.42,647.36,647.41,668
2026-03-26T18:54:00Z,AMD,205.76,205.815,205.73,205.73,1829
2026-03-26T18:54:00Z,NVDA,172.46,172.485,172.435,172.455,3043
2026-03-26T18:54:00Z,SPY,647.49,647.55,647.49,647.52,1125
2026-03-26T18:55:00Z,AMD,205.68,205.81,205.64,205.8,1679
2026-03-26T18:55:00Z,NVDA,172.41,172.455,172.365,172.455,5123
2026-03-26T18:55:00Z,SPY,647.4,647.43,647.3,647.43,1204
2026-03-26T18:56:00Z,AMD,205.8,205.8,205.54,205.59,6306
2026-03-26T18:56:00Z,NVDA,172.42,172.42,172.165,172.165,8262
2026-03-26T18:56:00Z,SPY,647.31,647.31,647.11,647.155,1619
2026-03-26T18:57:00Z,AMD,205.72,205.81,205.71,205.73,2835
2026-03-26T18:57:00Z,NVDA,172.23,172.23,172.135,172.15,7569
2026-03-26T18:57:00Z,SPY,647.295,647.38,647.22,647.23,2125
2026-03-26T18:58:00Z,AMD,205.83,205.83,205.63,205.675,1943
2026-03-26T18:58:00Z,NVDA,172.145,172.305,172.13,172.305,4761
2026-03-26T18:58:00Z,SPY,647.26,647.395,647.26,647.36,196
2026-03-26T18:59:00Z,AMD,205.7,205.76,205.565,205.66,1771
2026-03-26T18:59:00Z,NVDA,172.305,172.365,172.25,172.28,6604
2026-03-26T18:59:00Z,SPY,647.48,647.48,647.38,647.38,312
2026-03-26T19:00:00Z,AMD,205.755,205.755,205.27,205.27,3072
2026-03-26T19:00:00Z,NVDA,172.3,172.34,172.2,172.2,7016
2026-03-26T19:00:00Z,SPY,647.455,647.505,647.28,647.28,1152
2026-03-26T19:01:00Z,AMD,205.24,205.41,205.24,205.37,1120
2026-03-26T19:01:00Z,NVDA,172.2,172.24,172.175,172.205,6069
2026-03-26T19:01:00Z,SPY,647.315,647.315,647.23,647.25,595
2026-03-26T19:02:00Z,AMD,205.36,205.36,205.36,205.36,483
2026-03-26T19:02:00Z,NVDA,172.215,172.325,172.205,172.325,7298
2026-03-26T19:02:00Z,SPY,647.29,647.29,646.985,647.02,1638
2026-03-26T19:03:00Z,AMD,205.46,205.515,205.305,205.35,1401
2026-03-26T19:03:00Z,NVDA,172.335,172.345,172.16,172.19,7891
2026-03-26T19:03:00Z,SPY,647.0,647.05,646.67,646.7,3202
2026-03-26T19:04:00Z,AMD,205.4,205.405,205.18,205.18,1487
2026-03-26T19:04:00Z,NVDA,172.195,172.25,172.195,172.235,3652
2026-03-26T19:04:00Z,SPY,646.735,646.755,646.67,646.695,3571
2026-03-26T19:05:00Z,AMD,205.28,205.28,205.065,205.065,944
2026-03-26T19:05:00Z,NVDA,172.22,172.28,172.195,172.22,5479
2026-03-26T19:05:00Z,SPY,646.725,646.755,646.56,646.575,1261
2026-03-26T19:06:00Z,AMD,205.13,205.2,205.08,205.08,1349
2026-03-26T19:06:00Z,NVDA,172.215,172.24,171.925,171.925,19089
2026-03-26T19:06:00Z,SPY,646.67,646.67,646.445,646.445,1372
2026-03-26T19:07:00Z,AMD,204.94,205.04,204.63,204.63,2017
2026-03-26T19:07:00Z,NVDA,171.94,172.025,171.85,171.85,15381
2026-03-26T19:07:00Z,SPY,646.44,646.585,646.4,646.4,1628
2026-03-26T19:08:00Z,AMD,204.48,204.56,204.11,204.42,2920
2026-03-26T19:08:00Z,NVDA,171.82,171.82,171.675,171.78,18195
2026-03-26T19:08:00Z,SPY,646.3,646.3,646.03,646.28,1205
2026-03-26T19:09:00Z,AMD,204.57,204.59,204.4,204.4,1531
2026-03-26T19:09:00Z,NVDA,171.79,171.97,171.79,171.905,9825
2026-03-26T19:09:00Z,SPY,646.325,646.36,646.22,646.25,2210
2026-03-26T19:10:00Z,AMD,204.33,204.38,204.3,204.305,1784
2026-03-26T19:10:00Z,NVDA,171.89,171.915,171.73,171.76,15920
2026-03-26T19:10:00Z,SPY,646.26,646.315,646.02,646.04,3255
2026-03-26T19:11:00Z,AMD,204.29,204.38,204.14,204.26,3552
